PredictedProbability|PredictedLabel
0.484605|0
0.410574|0
0.409543|0
0.406831|0
0.412261|0
0.403002|0
0.422891|0
0.401097|0
0.407205|0
0.409816|0
0.433654|0
0.446809|0
0.443661|0
0.411053|0
0.401394|0
0.456952|0
0.441382|0
0.427196|0
0.369878|0
0.367883|0
0.369921|0
0.282827|0
0.27601|0
0.247331|0
0.240043|0
0.228032|0
0.267652|0
0.265811|0
0.227524|0
0.235984|0
0.221131|0
0.267387|0
0.224981|0
0.259124|0
0.214713|0
0.2402|0
0.214713|0
0.240954|0
0.201232|0
0.236962|0
0.169911|0
0.247377|0
0.213327|0
0.233428|0
