PredictedProbability|PredictedLabel
0.358168|0
0.272353|0
0.248186|0
0.277421|0
0.296439|0
0.250579|0
0.249607|0
0.252651|0
0.223082|0
0.184775|0
0.273453|0
0.262365|0
0.219467|0
0.21899|0
0.210742|0
0.200975|0
0.199606|0
0.225707|0
0.224673|0
0.223311|0
0.225115|0
0.222855|0
0.227594|0
0.206458|0
0.229266|0
0.210979|0
0.205281|0
0.201457|0
0.176565|0
0.188409|0
0.210438|0
0.191623|0
0.207629|0
0.197825|0
0.186346|0
0.175981|0
0.180121|0
0.1781|0
0.14613|0
0.21627|0
0.220559|0
0.17764|0
0.188813|0
